date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:17	5523/5523	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:10%20GMT	http://testphp.vulnweb.com/login.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/login.html	(from )
22:50:17	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Dec%202024%2016:50:10%20GMT	http://testphp.vulnweb.com/robots.txt		(from )
22:50:18	5482/5482	---M--	200	added ('OK')	text/css	etag:%224dca64a4-156a%22	http://testphp.vulnweb.com/style.css	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/style.css	(from http://testphp.vulnweb.com/login.php)
22:50:18	6660/6660	---M--	200	added ('OK')	image/gif	etag:%224dca64a2-1a04%22	http://testphp.vulnweb.com/images/logo.gif	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/images/logo.gif	(from http://testphp.vulnweb.com/login.php)
22:50:18	4958/4958	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:11%20GMT	http://testphp.vulnweb.com/index.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/index.html	(from http://testphp.vulnweb.com/login.php)
22:50:19	6115/6115	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:12%20GMT	http://testphp.vulnweb.com/categories.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/categories.html	(from http://testphp.vulnweb.com/login.php)
22:50:19	5328/5328	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:12%20GMT	http://testphp.vulnweb.com/artists.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/artists.html	(from http://testphp.vulnweb.com/login.php)
22:50:19	5524/5524	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:12%20GMT	http://testphp.vulnweb.com/disclaimer.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/disclaimer.html	(from http://testphp.vulnweb.com/login.php)
22:50:20	4903/4903	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:13%20GMT	http://testphp.vulnweb.com/cart.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/cart.html	(from http://testphp.vulnweb.com/login.php)
22:50:20	5390/5390	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:13%20GMT	http://testphp.vulnweb.com/guestbook.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/guestbook.html	(from http://testphp.vulnweb.com/login.php)
22:50:21	4236/4236	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:14%20GMT	http://testphp.vulnweb.com/AJAX/index.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/AJAX/index.html	(from http://testphp.vulnweb.com/login.php)
22:50:21	6033/6033	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2016:50:14%20GMT	http://testphp.vulnweb.com/signup.php	E:/BlackHat_Couse/Access_web_file/Vulnhub/testphp.vulnweb.com/signup.html	(from http://testphp.vulnweb.com/login.php)
